,Location (coordinates in km as measured from the southwest corner of the city),,,,Transition matrix: ith row and jth column gives p_{ij}. So row sums are 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,2.500,1.833,15,12.75006988,0,0,0,0,0.007852171,0.003823485,0.001963043,0,0,0,0,0,0,0,0,0,0,0,0.001963043,0.003823485,0.007447132,0.003823485,0.001963043,0,0,0,0,0,0,0,0,0,0.001963043,0.003823485,0.007447132,0.014505033,0.007447132,0.003823485,0.001963043,0,0,0,0,0,0,0,0.001963043,0.003823485,0.007447132,0.014505033,0.009723015,0.014505033,0.007447132,0.003823485,0.001963043,0,0,0,0,0,0.001963043,0.007646971,0.007447132,0.014505033,0.009723015,0.004991962,0.019446029,0.014505033,0.02978853,0.003823485,0.001963043,0,0,0,0,0.003823485,0.007447132,0.014505033,0.009723015,0.004991962,0.002562959,0.004991962,0.009723015,0.014505033,0.014894265,0.003823485,0.007852171,0,0,0,0.007447132,0.014505033,0.009723015,0.004991962,0.002562959,0,0.002562959,0.004991962,0.009723015,0.014505033,0.007447132,0.003823485,0.003926086,0,0,0.014505033,0.009723015,0.004991962,0.002562959,0,0.033147796,0,0.002562959,0.004991962,0.009723015,0.014505033,0.007447132,0.003823485,0.001963043,0,0.007447132,0.014505033,0.019446029,0.004991962,0.002562959,0,0.002562959,0.004991962,0.009723015,0.014505033,0.007447132,0.003823485,0.001963043,0,0,0.003823485,0.007447132,0.014505033,0.009723015,0.004991962,0.002562959,0.004991962,0.009723015,0.014505033,0.007447132,0.007646971,0.001963043,0,0,0,0.001963043,0.003823485,0.007447132,0.014505033,0.009723015,0.004991962,0.009723015,0.029010067,0.007447132,0.003823485,0.001963043,0,0,0,0,0,0.001963043,0.003823485,0.007447132,0.014505033,0.009723015,0.014505033,0.007447132,0.003823485,0.001963043,0,0,0,0,0,0,0,0.001963043,0.015293941,0.007447132,0.014505033,0.02978853,0.003823485,0.007852171,0,0,0,0,0,0,0,0,0,0.001963043,0.003823485,0.007447132,0.003823485,0.001963043,0,0,0,0,0,0,0,0,0,0,0,0.001963043,0.003823485,0.001963043,0,0,0,0,0,0,0,0
112,2.500,2.167,15,12.27433181,0,0,0,0,0,0.001816643,0.003538337,0.001816643,0,0,0,0,0,0,0,0,0,0,0,0.001816643,0.003538337,0.006891739,0.003538337,0.001816643,0,0,0,0,0,0,0,0,0,0.001816643,0.003538337,0.006891739,0.013423274,0.006891739,0.003538337,0.001816643,0,0,0,0,0,0,0,0.001816643,0.003538337,0.006891739,0.013423274,0.00899789,0.013423274,0.006891739,0.003538337,0.001816643,0,0,0,0,0,0.003633285,0.003538337,0.006891739,0.013423274,0.00899789,0.009239341,0.00899789,0.053693098,0.006891739,0.003538337,0.001816643,0,0,0,0.001816643,0.003538337,0.006891739,0.013423274,0.00899789,0.004619671,0.002371818,0.004619671,0.00899789,0.026846549,0.006891739,0.014153347,0.001816643,0,0,0.003538337,0.006891739,0.013423274,0.00899789,0.004619671,0.002371818,0,0.002371818,0.004619671,0.00899789,0.013423274,0.006891739,0.007076673,0.007266571,0,0.006891739,0.013423274,0.00899789,0.004619671,0.009487272,0,0.030675694,0,0.002371818,0.004619671,0.00899789,0.013423274,0.006891739,0.003538337,0.001816643,0.003538337,0.006891739,0.026846549,0.00899789,0.004619671,0.002371818,0,0.002371818,0.004619671,0.00899789,0.013423274,0.006891739,0.003538337,0.001816643,0,0.001816643,0.003538337,0.006891739,0.013423274,0.00899789,0.004619671,0.002371818,0.004619671,0.00899789,0.013423274,0.013783478,0.003538337,0.001816643,0,0,0,0.001816643,0.003538337,0.006891739,0.013423274,0.00899789,0.004619671,0.01799578,0.013423274,0.006891739,0.003538337,0.001816643,0,0,0,0,0,0.001816643,0.003538337,0.006891739,0.013423274,0.00899789,0.013423274,0.006891739,0.003538337,0.001816643,0,0,0,0,0,0,0,0.007266571,0.003538337,0.006891739,0.053693098,0.006891739,0.014153347,0.001816643,0,0,0,0,0,0,0,0,0,0.001816643,0.003538337,0.006891739,0.003538337,0.001816643,0,0,0,0,0,0,0,0,0,0,0,0.001816643,0.003538337,0.001816643,0,0,0,0,0,0,0
113,2.500,2.500,15,11.84114757,0,0,0,0,0,0,0.001823619,0.003551924,0.001823619,0,0,0,0,0,0,0,0,0,0,0,0.001823619,0.003551924,0.006918203,0.003551924,0.001823619,0,0,0,0,0,0,0,0,0,0.001823619,0.003551924,0.006918203,0.013474819,0.006918203,0.003551924,0.001823619,0,0,0,0,0,0,0,0.001823619,0.003551924,0.006918203,0.013474819,0.009032442,0.013474819,0.006918203,0.003551924,0.001823619,0,0,0,0,0,0.001823619,0.003551924,0.006918203,0.013474819,0.018064883,0.00463741,0.036129766,0.013474819,0.006918203,0.003551924,0.001823619,0,0,0,0.001823619,0.003551924,0.006918203,0.013474819,0.009032442,0.00463741,0.002380926,0.00463741,0.018064883,0.013474819,0.027672812,0.003551924,0.001823619,0,0.001823619,0.003551924,0.006918203,0.013474819,0.009032442,0.00463741,0.002380926,0,0.002380926,0.00463741,0.009032442,0.013474819,0.013836406,0.014207695,0.001823619,0.003551924,0.006918203,0.013474819,0.009032442,0.018549641,0.002380926,0,0.030793488,0,0.002380926,0.00463741,0.009032442,0.013474819,0.006918203,0.003551924,0.001823619,0.003551924,0.013836406,0.013474819,0.009032442,0.00463741,0.002380926,0,0.002380926,0.00463741,0.009032442,0.013474819,0.006918203,0.003551924,0.001823619,0,0.001823619,0.003551924,0.006918203,0.013474819,0.009032442,0.00463741,0.002380926,0.00463741,0.009032442,0.026949639,0.006918203,0.003551924,0.001823619,0,0,0,0.001823619,0.003551924,0.006918203,0.013474819,0.009032442,0.00927482,0.009032442,0.013474819,0.006918203,0.003551924,0.001823619,0,0,0,0,0,0.001823619,0.003551924,0.006918203,0.013474819,0.009032442,0.013474819,0.006918203,0.003551924,0.001823619,0,0,0,0,0,0,0,0.001823619,0.003551924,0.027672812,0.013474819,0.027672812,0.003551924,0.001823619,0,0,0,0,0,0,0,0,0,0.001823619,0.003551924,0.006918203,0.003551924,0.001823619,0,0,0,0,0,0,0,0,0,0,0,0.001823619,0.003551924,0.001823619,0,0,0,0,0,0
114,2.500,2.833,15,10.98038386,0,0,0,0,0,0,0,0.00175829,0.003424682,0.00175829,0,0,0,0,0,0,0,0,0,0,0,0.00175829,0.003424682,0.006670369,0.003424682,0.00175829,0,0,0,0,0,0,0,0,0,0.00175829,0.003424682,0.006670369,0.012992104,0.006670369,0.003424682,0.00175829,0,0,0,0,0,0,0,0.00175829,0.003424682,0.006670369,0.012992104,0.008708868,0.012992104,0.006670369,0.003424682,0.00175829,0,0,0,0,0,0.00175829,0.003424682,0.006670369,0.025984209,0.008708868,0.017885128,0.008708868,0.012992104,0.006670369,0.003424682,0.00175829,0,0,0,0.00175829,0.003424682,0.006670369,0.012992104,0.008708868,0.004471282,0.002295633,0.008942564,0.008708868,0.051968418,0.006670369,0.003424682,0.00175829,0,0.00175829,0.003424682,0.006670369,0.012992104,0.008708868,0.004471282,0.002295633,0,0.002295633,0.004471282,0.008708868,0.025984209,0.026681475,0.003424682,0.00175829,0.003424682,0.006670369,0.012992104,0.034835472,0.004471282,0.002295633,0,0.029690358,0,0.002295633,0.004471282,0.008708868,0.012992104,0.006670369,0,0.00175829,0.006849363,0.006670369,0.012992104,0.008708868,0.004471282,0.002295633,0,0.002295633,0.004471282,0.008708868,0.012992104,0.006670369,0.003424682,0,0,0.00175829,0.003424682,0.006670369,0.012992104,0.008708868,0.004471282,0.002295633,0.004471282,0.017417736,0.012992104,0.006670369,0.003424682,0.00175829,0,0,0,0.00175829,0.003424682,0.006670369,0.012992104,0.017417736,0.004471282,0.008708868,0.012992104,0.006670369,0.003424682,0.00175829,0,0,0,0,0,0.00175829,0.003424682,0.006670369,0.012992104,0.008708868,0.012992104,0.006670369,0.003424682,0.00175829,0,0,0,0,0,0,0,0.00175829,0.013698726,0.006670369,0.051968418,0.006670369,0.003424682,0.00175829,0,0,0,0,0,0,0,0,0,0.00175829,0.003424682,0.006670369,0.003424682,0.00175829,0,0,0,0,0,0,0,0,0,0,0,0.00175829,0.003424682,0.00175829,0,0,0,0,0
115,2.500,3.167,15,12.01701475,0,0,0,0,0,0,0,0,0.001791339,0.003489052,0.001791339,0,0,0,0,0,0,0,0,0,0,0,0.001791339,0.003489052,0.006795745,0.003489052,0.001791339,0,0,0,0,0,0,0,0,0,0.001791339,0.003489052,0.006795745,0.013236304,0.006795745,0.003489052,0.001791339,0,0,0,0,0,0,0,0.001791339,0.003489052,0.006795745,0.013236304,0.00887256,0.013236304,0.006795745,0.003489052,0.001791339,0,0,0,0,0,0.001791339,0.003489052,0.01359149,0.013236304,0.035490239,0.004555324,0.00887256,0.013236304,0.006795745,0.003489052,0.001791339,0,0,0,0.001791339,0.003489052,0.006795745,0.013236304,0.00887256,0.004555324,0.004677563,0.004555324,0.035490239,0.013236304,0.006795745,0.003489052,0,0,0.001791339,0.003489052,0.006795745,0.013236304,0.00887256,0.004555324,0.002338781,0,0.002338781,0.004555324,0.01774512,0.052945215,0.006795745,0,0.001791339,0.003489052,0.006795745,0.052945215,0.00887256,0.004555324,0.002338781,0,0.030248417,0,0.002338781,0.004555324,0.00887256,0.013236304,0,0,0.003582678,0.003489052,0.006795745,0.013236304,0.00887256,0.004555324,0.002338781,0,0.002338781,0.004555324,0.00887256,0.013236304,0.006795745,0,0,0,0.001791339,0.003489052,0.006795745,0.013236304,0.00887256,0.004555324,0.002338781,0.009110648,0.00887256,0.013236304,0.006795745,0.003489052,0,0,0,0,0.001791339,0.003489052,0.006795745,0.026472608,0.00887256,0.004555324,0.00887256,0.013236304,0.006795745,0.003489052,0.001791339,0,0,0,0,0,0.001791339,0.003489052,0.006795745,0.013236304,0.00887256,0.013236304,0.006795745,0.003489052,0.001791339,0,0,0,0,0,0,0,0.007165356,0.003489052,0.02718298,0.013236304,0.006795745,0.003489052,0.007165356,0,0,0,0,0,0,0,0,0,0.001791339,0.003489052,0.006795745,0.003489052,0.001791339,0,0,0,0,0,0,0,0,0,0,0,0.001791339,0.003489052,0.001791339,0,0,0,0
116,2.500,3.500,15,11.85468195,0,0,0,0,0,0,0,0,0,0.00196925,0.003835576,0.003938501,0,0,0,0,0,0,0,0,0,0,0,0.00196925,0.003835576,0.007470682,0.003835576,0.003938501,0,0,0,0,0,0,0,0,0,0.00196925,0.003835576,0.007470682,0.014550901,0.007470682,0.003835576,0.00196925,0,0,0,0,0,0,0,0.00196925,0.003835576,0.007470682,0.014550901,0.009753761,0.014550901,0.007470682,0.003835576,0.00196925,0,0,0,0,0,0.00196925,0.007671152,0.007470682,0.058203604,0.009753761,0.005007748,0.009753761,0.014550901,0.007470682,0.003835576,0,0,0,0,0.00196925,0.003835576,0.007470682,0.014550901,0.009753761,0.010015495,0.002571063,0.020030991,0.009753761,0.014550901,0.007470682,0,0,0,0.00196925,0.003835576,0.007470682,0.014550901,0.009753761,0.005007748,0.002571063,0,0.002571063,0.010015495,0.039015043,0.014550901,0,0,0.00196925,0.003835576,0.029882727,0.014550901,0.009753761,0.005007748,0.002571063,0,0.033252616,0,0.002571063,0.005007748,0.009753761,0,0,0,0.00196925,0.003835576,0.007470682,0.014550901,0.009753761,0.005007748,0.002571063,0,0.002571063,0.005007748,0.009753761,0.014550901,0,0,0,0,0.00196925,0.003835576,0.007470682,0.014550901,0.009753761,0.005007748,0.005142127,0.005007748,0.009753761,0.014550901,0.007470682,0,0,0,0,0,0.00196925,0.003835576,0.014941363,0.014550901,0.009753761,0.005007748,0.009753761,0.014550901,0.007470682,0.003835576,0,0,0,0,0,0,0.00196925,0.003835576,0.007470682,0.014550901,0.009753761,0.014550901,0.007470682,0.003835576,0.00196925,0,0,0,0,0,0,0,0.00196925,0.015342303,0.007470682,0.014550901,0.007470682,0.015342303,0.00196925,0,0,0,0,0,0,0,0,0,0.00196925,0.003835576,0.007470682,0.003835576,0.003938501,0,0,0,0,0,0,0,0,0,0,0,0.00196925,0.003835576,0.00196925,0,0,0
117,2.500,3.833,15,13.01227312,0,0,0,0,0,0,0,0,0,0,0.00220031,0.008571237,0.00220031,0,0,0,0,0,0,0,0,0,0,0,0.00220031,0.004285618,0.008347245,0.008571237,0.00220031,0,0,0,0,0,0,0,0,0,0.00220031,0.004285618,0.008347245,0.016258212,0.008347245,0.004285618,0.00220031,0,0,0,0,0,0,0,0.00220031,0.004285618,0.008347245,0.016258212,0.010898206,0.016258212,0.008347245,0.004285618,0,0,0,0,0,0,0.00440062,0.004285618,0.033388978,0.016258212,0.010898206,0.005595325,0.010898206,0.016258212,0.008347245,0,0,0,0,0,0.00220031,0.004285618,0.008347245,0.016258212,0.021796411,0.005595325,0.011490943,0.005595325,0.010898206,0.016258212,0,0,0,0,0.00220031,0.004285618,0.008347245,0.016258212,0.010898206,0.005595325,0.002872736,0,0.005745472,0.022381302,0.010898206,0,0,0,0.00220031,0.017142473,0.008347245,0.016258212,0.010898206,0.005595325,0.002872736,0,0.037154269,0,0.002872736,0.005595325,0,0,0,0,0.00220031,0.004285618,0.008347245,0.016258212,0.010898206,0.005595325,0.002872736,0,0.002872736,0.005595325,0.010898206,0,0,0,0,0,0.00220031,0.004285618,0.008347245,0.016258212,0.010898206,0.011190651,0.002872736,0.005595325,0.010898206,0.016258212,0,0,0,0,0,0,0.00220031,0.008571237,0.008347245,0.016258212,0.010898206,0.005595325,0.010898206,0.016258212,0.008347245,0,0,0,0,0,0,0,0.00220031,0.004285618,0.008347245,0.016258212,0.010898206,0.016258212,0.008347245,0.004285618,0,0,0,0,0,0,0,0,0.008801239,0.004285618,0.008347245,0.016258212,0.033388978,0.004285618,0.00440062,0,0,0,0,0,0,0,0,0,0.00220031,0.004285618,0.008347245,0.008571237,0.00440062,0,0,0,0,0,0,0,0,0,0,0,0.00220031,0.004285618,0.00220031,0,0
118,2.500,4.167,15,12.21435216,0,0,0,0,0,0,0,0,0,0,0,0.004768615,0.004643997,0.002384307,0,0,0,0,0,0,0,0,0,0,0,0.002384307,0.004643997,0.018090541,0.004643997,0.002384307,0,0,0,0,0,0,0,0,0,0.002384307,0.004643997,0.00904527,0.017617781,0.00904527,0.004643997,0,0,0,0,0,0,0,0,0.002384307,0.004643997,0.00904527,0.017617781,0.011809552,0.017617781,0.00904527,0,0,0,0,0,0,0,0.002384307,0.018575987,0.00904527,0.017617781,0.011809552,0.006063226,0.011809552,0.017617781,0,0,0,0,0,0,0.002384307,0.004643997,0.00904527,0.035235562,0.011809552,0.024252904,0.003112964,0.006063226,0.011809552,0,0,0,0,0,0.002384307,0.004643997,0.00904527,0.017617781,0.011809552,0.006063226,0.003112964,0,0.012451856,0.006063226,0,0,0,0,0.009537229,0.004643997,0.00904527,0.017617781,0.011809552,0.006063226,0.003112964,0,0.040261239,0,0.003112964,0,0,0,0,0,0.002384307,0.004643997,0.00904527,0.017617781,0.011809552,0.006063226,0.003112964,0,0.003112964,0.006063226,0,0,0,0,0,0,0.002384307,0.004643997,0.00904527,0.017617781,0.023619103,0.006063226,0.003112964,0.006063226,0.011809552,0,0,0,0,0,0,0,0.004768615,0.004643997,0.00904527,0.017617781,0.011809552,0.006063226,0.011809552,0.017617781,0,0,0,0,0,0,0,0,0.002384307,0.004643997,0.00904527,0.017617781,0.011809552,0.017617781,0.00904527,0,0,0,0,0,0,0,0,0,0.002384307,0.004643997,0.00904527,0.070471124,0.00904527,0.009287993,0,0,0,0,0,0,0,0,0,0,0.002384307,0.004643997,0.018090541,0.009287993,0.002384307,0,0,0,0,0,0,0,0,0,0,0,0.002384307,0.004643997,0.002384307,0
119,2.500,4.500,15,11.69565475,0,0,0,0,0,0,0,0,0,0,0,0,0.002780244,0.005415175,0.002780244,0,0,0,0,0,0,0,0,0,0,0,0.002780244,0.01083035,0.010547321,0.005415175,0,0,0,0,0,0,0,0,0,0,0.002780244,0.005415175,0.010547321,0.020543375,0.010547321,0,0,0,0,0,0,0,0,0,0.002780244,0.005415175,0.010547321,0.020543375,0.013770636,0.020543375,0,0,0,0,0,0,0,0,0.011120974,0.005415175,0.010547321,0.020543375,0.013770636,0.00707008,0.013770636,0,0,0,0,0,0,0,0.002780244,0.005415175,0.021094641,0.020543375,0.055082545,0.00707008,0.0036299,0.00707008,0,0,0,0,0,0,0.002780244,0.005415175,0.010547321,0.020543375,0.013770636,0.00707008,0.007259801,0,0.0036299,0,0,0,0,0,0.002780244,0.005415175,0.010547321,0.020543375,0.013770636,0.00707008,0.0036299,0,0.046946987,0,0,0,0,0,0,0,0.002780244,0.005415175,0.010547321,0.020543375,0.013770636,0.00707008,0.0036299,0,0.0036299,0,0,0,0,0,0,0,0.002780244,0.005415175,0.010547321,0.041086751,0.013770636,0.00707008,0.0036299,0.00707008,0,0,0,0,0,0,0,0,0.002780244,0.005415175,0.010547321,0.020543375,0.013770636,0.00707008,0.013770636,0,0,0,0,0,0,0,0,0,0.002780244,0.005415175,0.010547321,0.020543375,0.013770636,0.020543375,0,0,0,0,0,0,0,0,0,0,0.002780244,0.005415175,0.042189282,0.020543375,0.021094641,0,0,0,0,0,0,0,0,0,0,0,0.002780244,0.01083035,0.021094641,0.005415175,0,0,0,0,0,0,0,0,0,0,0,0,0.002780244,0.005415175,0.002780244
120,2.500,4.833,15,11.70620308,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00320355,0.006239663,0,0,0,0,0,0,0,0,0,0,0,0,0.0064071,0.006239663,0.012153205,0,0,0,0,0,0,0,0,0,0,0,0.00320355,0.006239663,0.012153205,0.023671211,0,0,0,0,0,0,0,0,0,0,0.00320355,0.006239663,0.012153205,0.023671211,0.015867287,0,0,0,0,0,0,0,0,0,0.00320355,0.006239663,0.012153205,0.023671211,0.015867287,0.008146537,0,0,0,0,0,0,0,0,0.00320355,0.012479327,0.012153205,0.094684842,0.015867287,0.008146537,0.004182571,0,0,0,0,0,0,0,0.00320355,0.006239663,0.012153205,0.023671211,0.015867287,0.016293074,0.016730286,0,0,0,0,0,0,0,0.00320355,0.006239663,0.012153205,0.023671211,0.015867287,0.008146537,0.004182571,0,0.054094909,0,0,0,0,0,0,0,0.00320355,0.006239663,0.012153205,0.023671211,0.015867287,0.008146537,0.004182571,0,0,0,0,0,0,0,0,0,0.00320355,0.006239663,0.024306409,0.023671211,0.015867287,0.008146537,0.004182571,0,0,0,0,0,0,0,0,0,0.00320355,0.006239663,0.012153205,0.023671211,0.015867287,0.008146537,0,0,0,0,0,0,0,0,0,0,0.00320355,0.006239663,0.012153205,0.023671211,0.015867287,0,0,0,0,0,0,0,0,0,0,0,0.00320355,0.024958653,0.012153205,0.047342421,0,0,0,0,0,0,0,0,0,0,0,0,0.0064071,0.012479327,0.012153205,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00320355,0.006239663
121,2.833,0.167,15,12.22859776,0.003363488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006551181,0.003363488,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012759957,0.006551181,0.003363488,0,0,0,0,0,0,0,0,0,0,0,0,0.024853003,0.012759957,0.006551181,0.003363488,0,0,0,0,0,0,0,0,0,0,0,0.016659466,0.049706007,0.012759957,0.006551181,0.003363488,0,0,0,0,0,0,0,0,0,0,0.008553255,0.016659466,0.024853003,0.012759957,0.006551181,0.003363488,0,0,0,0,0,0,0,0,0,0.004391388,0.008553255,0.016659466,0.024853003,0.012759957,0.006551181,0.003363488,0,0,0,0,0,0,0,0,0,0.004391388,0.008553255,0.016659466,0.099412014,0.012759957,0.006551181,0.003363488,0,0,0,0,0,0,0,0.056795615,0,0.008782775,0.008553255,0.016659466,0.024853003,0.012759957,0.006551181,0.003363488,0,0,0,0,0,0,0,0.004391388,0.008553255,0.016659466,0.024853003,0.012759957,0.006551181,0.003363488,0,0,0,0,0,0,0,0.004391388,0.008553255,0.016659466,0.024853003,0.012759957,0.006551181,0.003363488,0,0,0,0,0,0,0,0,0.008553255,0.016659466,0.024853003,0.012759957,0.006551181,0.003363488,0,0,0,0,0,0,0,0,0,0.016659466,0.024853003,0.012759957,0.026204722,0.003363488,0,0,0,0,0,0,0,0,0,0,0.024853003,0.012759957,0.006551181,0.003363488,0,0,0,0,0,0,0,0,0,0,0,0.012759957,0.013102361,0.003363488,0,0,0,0,0,0,0,0,0,0,0,0
122,2.833,0.500,15,12.74868473,0,0.002945434,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002945434,0.005736922,0.002945434,0,0,0,0,0,0,0,0,0,0,0,0,0.005736922,0.011173998,0.005736922,0.002945434,0,0,0,0,0,0,0,0,0,0,0,0.011173998,0.021763976,0.011173998,0.005736922,0.002945434,0,0,0,0,0,0,0,0,0,0,0.021763976,0.029177659,0.021763976,0.011173998,0.005736922,0.002945434,0,0,0,0,0,0,0,0,0,0.014588829,0.007490155,0.014588829,0.021763976,0.011173998,0.005736922,0.002945434,0,0,0,0,0,0,0,0,0.007490155,0.003845574,0.007490155,0.014588829,0.021763976,0.011173998,0.005736922,0.002945434,0,0,0,0,0,0,0,0.003845574,0,0.003845574,0.007490155,0.058355318,0.021763976,0.011173998,0.005736922,0.002945434,0,0,0,0,0,0,0,0.049736379,0,0.003845574,0.007490155,0.014588829,0.021763976,0.011173998,0.005736922,0.002945434,0,0,0,0,0,0.003845574,0,0.003845574,0.007490155,0.014588829,0.021763976,0.011173998,0.005736922,0.002945434,0,0,0,0,0,0,0.007490155,0.003845574,0.007490155,0.014588829,0.021763976,0.011173998,0.005736922,0.005890868,0,0,0,0,0,0,0,0.014588829,0.007490155,0.014588829,0.021763976,0.011173998,0.005736922,0.002945434,0,0,0,0,0,0,0,0,0.021763976,0.014588829,0.021763976,0.044695991,0.005736922,0.002945434,0,0,0,0,0,0,0,0,0,0.011173998,0.021763976,0.011173998,0.005736922,0.002945434,0,0,0,0,0,0,0,0,0,0,0.005736922,0.022347996,0.005736922,0.002945434,0,0,0,0,0,0,0,0,0,0,0
123,2.833,0.833,30,25.6979137,0,0,0.002438746,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002438746,0.004750028,0.002438746,0,0,0,0,0,0,0,0,0,0,0,0.002438746,0.004750028,0.009251792,0.004750028,0.002438746,0,0,0,0,0,0,0,0,0,0,0.004750028,0.009251792,0.01802003,0.009251792,0.004750028,0.002438746,0,0,0,0,0,0,0,0,0,0.009251792,0.036040061,0.012079188,0.01802003,0.009251792,0.004750028,0.004877492,0,0,0,0,0,0,0,0,0.01802003,0.012079188,0.006201662,0.012079188,0.01802003,0.009251792,0.004750028,0.002438746,0,0,0,0,0,0,0,0.012079188,0.006201662,0.003184039,0.006201662,0.012079188,0.01802003,0.009251792,0.004750028,0.002438746,0,0,0,0,0,0,0.006201662,0.003184039,0,0.003184039,0.024806647,0.012079188,0.01802003,0.009251792,0.004750028,0.002438746,0,0,0,0,0,0.003184039,0,0.082360967,0,0.003184039,0.006201662,0.012079188,0.01802003,0.009251792,0.004750028,0.002438746,0,0,0,0,0.006201662,0.003184039,0,0.003184039,0.006201662,0.012079188,0.01802003,0.009251792,0.004750028,0.002438746,0,0,0,0,0,0.012079188,0.006201662,0.003184039,0.006201662,0.012079188,0.01802003,0.009251792,0.009500057,0.002438746,0,0,0,0,0,0,0.01802003,0.012079188,0.006201662,0.012079188,0.01802003,0.009251792,0.004750028,0.002438746,0,0,0,0,0,0,0,0.009251792,0.01802003,0.012079188,0.072080121,0.009251792,0.004750028,0.009754984,0,0,0,0,0,0,0,0,0.004750028,0.009251792,0.01802003,0.009251792,0.004750028,0.002438746,0,0,0,0,0,0,0,0,0,0.002438746,0.009500057,0.009251792,0.004750028,0.002438746,0,0,0,0,0,0,0,0,0,0
124,2.833,1.167,15,11.49479097,0,0,0,0.002353249,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002353249,0.004583503,0.002353249,0,0,0,0,0,0,0,0,0,0,0,0.002353249,0.004583503,0.008927445,0.004583503,0.002353249,0,0,0,0,0,0,0,0,0,0.002353249,0.004583503,0.008927445,0.017388288,0.008927445,0.004583503,0.002353249,0,0,0,0,0,0,0,0,0.004583503,0.01785489,0.017388288,0.011655718,0.017388288,0.008927445,0.009167006,0.002353249,0,0,0,0,0,0,0,0.008927445,0.017388288,0.011655718,0.005984245,0.011655718,0.017388288,0.008927445,0.004583503,0.002353249,0,0,0,0,0,0,0.017388288,0.011655718,0.005984245,0.003072414,0.005984245,0.011655718,0.017388288,0.008927445,0.004583503,0.002353249,0,0,0,0,0,0.011655718,0.005984245,0.003072414,0,0.012289656,0.005984245,0.011655718,0.017388288,0.008927445,0.004583503,0.002353249,0,0,0,0,0.005984245,0.003072414,0,0.039736788,0,0.003072414,0.005984245,0.011655718,0.017388288,0.008927445,0.004583503,0.002353249,0,0,0,0.011655718,0.005984245,0.003072414,0,0.003072414,0.005984245,0.011655718,0.017388288,0.008927445,0.004583503,0.004706498,0,0,0,0,0.017388288,0.011655718,0.005984245,0.003072414,0.005984245,0.011655718,0.017388288,0.01785489,0.004583503,0.002353249,0,0,0,0,0,0.008927445,0.017388288,0.011655718,0.005984245,0.011655718,0.017388288,0.008927445,0.004583503,0.002353249,0,0,0,0,0,0,0.004583503,0.008927445,0.017388288,0.046622873,0.017388288,0.008927445,0.018334012,0.002353249,0,0,0,0,0,0,0,0.002353249,0.004583503,0.008927445,0.017388288,0.008927445,0.004583503,0.002353249,0,0,0,0,0,0,0,0,0,0.004706498,0.004583503,0.008927445,0.004583503,0.002353249,0,0,0,0,0,0,0,0,0
125,2.833,1.500,15,11.82680653,0,0,0,0,0.008299855,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002074964,0.004041477,0.002074964,0,0,0,0,0,0,0,0,0,0,0,0.002074964,0.004041477,0.007871723,0.004041477,0.002074964,0,0,0,0,0,0,0,0,0,0.002074964,0.004041477,0.007871723,0.015332023,0.007871723,0.004041477,0.002074964,0,0,0,0,0,0,0,0.002074964,0.008082955,0.007871723,0.015332023,0.010277362,0.015332023,0.015743446,0.004041477,0.008299855,0,0,0,0,0,0,0.004041477,0.007871723,0.015332023,0.010277362,0.005276574,0.010277362,0.015332023,0.007871723,0.004041477,0.004149927,0,0,0,0,0,0.007871723,0.015332023,0.010277362,0.005276574,0.002709083,0.005276574,0.010277362,0.015332023,0.007871723,0.004041477,0.002074964,0,0,0,0,0.015332023,0.010277362,0.005276574,0.002709083,0,0.002709083,0.005276574,0.010277362,0.015332023,0.007871723,0.004041477,0.002074964,0,0,0,0.010277362,0.005276574,0.005418167,0,0.035037683,0,0.002709083,0.005276574,0.010277362,0.015332023,0.007871723,0.004041477,0.002074964,0,0,0.015332023,0.010277362,0.005276574,0.002709083,0,0.002709083,0.005276574,0.010277362,0.015332023,0.007871723,0.008082955,0.002074964,0,0,0,0.007871723,0.015332023,0.010277362,0.005276574,0.002709083,0.005276574,0.010277362,0.030664045,0.007871723,0.004041477,0.002074964,0,0,0,0,0.004041477,0.007871723,0.015332023,0.010277362,0.005276574,0.010277362,0.015332023,0.007871723,0.004041477,0.002074964,0,0,0,0,0,0.002074964,0.004041477,0.007871723,0.061328091,0.010277362,0.015332023,0.031486892,0.004041477,0.008299855,0,0,0,0,0,0,0,0.002074964,0.004041477,0.007871723,0.015332023,0.007871723,0.004041477,0.002074964,0,0,0,0,0,0,0,0,0,0.002074964,0.004041477,0.007871723,0.004041477,0.002074964,0,0,0,0,0,0,0,0
